"","Subject","Path","Time"
"1","1","round_out",4.7080991905464
"2","1","narrow_angle",4.88212116068385
"3","1","home_plate",4.61759161061292
"4","2","round_out",4.8437730627603
"5","2","narrow_angle",5.19744676376625
"6","2","home_plate",4.86170093274791
"7","3","round_out",5.23446610727834
"8","3","narrow_angle",5.11713645914967
"9","3","home_plate",5.36325584272865
"10","4","round_out",4.47476556685508
"11","4","narrow_angle",4.46735005347213
"12","4","home_plate",4.42065916977897
"13","5","round_out",4.84516998270962
"14","5","narrow_angle",4.94900585582714
"15","5","home_plate",4.70701859393042
"16","6","round_out",4.90665226769551
"17","6","narrow_angle",5.10412416102932
"18","6","home_plate",4.99666757196654
"19","7","round_out",5.13697141041901
"20","7","narrow_angle",4.76406917218514
"21","7","home_plate",4.71819366657507
"22","8","round_out",4.86577394852997
"23","8","narrow_angle",4.78157921663586
"24","8","home_plate",4.70571133798363
"25","9","round_out",4.72993868935866
"26","9","narrow_angle",4.73679185847911
"27","9","home_plate",4.77329710114337
"28","10","round_out",4.76249644102851
"29","10","narrow_angle",4.58302743310287
"30","10","home_plate",4.69886028624089
"31","11","round_out",4.74713912014101
"32","11","narrow_angle",4.79216753853057
"33","11","home_plate",4.8485919362802
"34","12","round_out",4.91041164206718
"35","12","narrow_angle",5.11397350667847
"36","12","home_plate",4.64658616319707
"37","13","round_out",5.12169476168957
"38","13","narrow_angle",4.7094998534413
"39","13","home_plate",4.91980337536565
"40","14","round_out",5.44073033477011
"41","14","narrow_angle",5.05733010108664
"42","14","home_plate",4.87575039070934
"43","15","round_out",5.2106820508804
"44","15","narrow_angle",5.5262323234971
"45","15","home_plate",4.97972157391401
"46","16","round_out",5.21679524982957
"47","16","narrow_angle",5.24067326764702
"48","16","home_plate",5.00177854867446
"49","17","round_out",4.91890095298938
"50","17","narrow_angle",4.87492310073284
"51","17","home_plate",4.80915426957884
"52","18","round_out",4.94148676747454
"53","18","narrow_angle",5.19900425448699
"54","18","home_plate",4.76321717067932
"55","19","round_out",4.63005351247397
"56","19","narrow_angle",4.76679257960859
"57","19","home_plate",4.84388754589307
"58","20","round_out",5.45243757730408
"59","20","narrow_angle",5.50472064247158
"60","20","home_plate",5.42596798340114
"61","21","round_out",4.82724934229014
"62","21","narrow_angle",5.04901169676416
"63","21","home_plate",5.13285480516991
"64","22","round_out",5.03348021452873
"65","22","narrow_angle",5.03986239683639
"66","22","home_plate",4.80742570459019
